,n_eff  ---   AS REPORTED  BY COMSOL (sorted high to low),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,height (thick),335,335,335,335,335,335,335,335,335,335,,,,,,,,,,,height (thick),335,335,335,335,335,335,335,335,335,335,,,,,,,,,,,thickness   [nm],335,335,335,335,335,335,335,335,335,335,,,,,,,,,,,,335,335,335,335,335,335,335,335,335,335,,,,,,,,,,,,335,335,335,335,335,335,335,335,335,335,,,,,,,,,,,,335,335,335,335,335,335,335,335,335,335,,,,,,,,,,,,335,335,335,335,335,335,335,335,335,335,,,,,,,,,,,,335,335,335,335,335,335,335,335,335,335,,,,,,,,,,,,335,335,335,335,335,335,335,335,335,335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Width,300,300,300,300,300,300,300,300,300,300,,,,,,,,,,,Width,350,350,350,350,350,350,350,350,350,350,,,,,,,,,,,width [nm],400,400,400,400,400,400,400,400,400,400,,,,,,,,,,,,450,450,450,450,450,450,450,450,450,450,,,,,,,,,,,,500,500,500,500,500,500,500,500,500,500,,,,,,,,,,,,550,550,550,550,550,550,550,550,550,550,,,,,,,,,,,,600,600,600,600,600,600,600,600,600,600,,,,,,,,,,,,650,650,650,650,650,650,650,650,650,650,,,,,,,,,,,,700,700,700,700,700,700,700,700,700,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WL,210,220,230,240,250,260,270,280,290,300,,,,,,,,,,,WL,210,220,230,240,250,260,270,280,290,300,,,,,,,,,,,wavelength [nm],210,220,230,240,250,260,270,280,290,300,,,,,,,,,,,,210,220,230,240,250,260,270,280,290,300,,,,,,,,,,,,210,220,230,240,250,260,270,280,290,300,,,,,,,,,,,,210,220,230,240,250,260,270,280,290,300,,,,,,,,,,,,210,220,230,240,250,260,270,280,290,300,,,,,,,,,,,,210,220,230,240,250,260,270,280,290,300,,,,,,,,,,,,210,220,230,240,250,260,270,280,290,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Effective mode index (1),"w_core=300, wl=210, Effective mode index (1)","w_core=300, wl=220, Effective mode index (1)","w_core=300, wl=230, Effective mode index (1)","w_core=300, wl=240, Effective mode index (1)","w_core=300, wl=250, Effective mode index (1)","w_core=300, wl=260, Effective mode index (1)","w_core=300, wl=270, Effective mode index (1)","w_core=300, wl=280, Effective mode index (1)","w_core=300, wl=290, Effective mode index (1)","w_core=300, wl=300, Effective mode index (1)",,,,,,,,,,,,"w_core=350, wl=210, Effective mode index (1)","w_core=350, wl=220, Effective mode index (1)","w_core=350, wl=230, Effective mode index (1)","w_core=350, wl=240, Effective mode index (1)","w_core=350, wl=250, Effective mode index (1)","w_core=350, wl=260, Effective mode index (1)","w_core=350, wl=270, Effective mode index (1)","w_core=350, wl=280, Effective mode index (1)","w_core=350, wl=290, Effective mode index (1)","w_core=350, wl=300, Effective mode index (1)",,,,,,,,,,,,"w_core=400, wl=210, Effective mode index (1)","w_core=400, wl=220, Effective mode index (1)","w_core=400, wl=230, Effective mode index (1)","w_core=400, wl=240, Effective mode index (1)","w_core=400, wl=250, Effective mode index (1)","w_core=400, wl=260, Effective mode index (1)","w_core=400, wl=270, Effective mode index (1)","w_core=400, wl=280, Effective mode index (1)","w_core=400, wl=290, Effective mode index (1)","w_core=400, wl=300, Effective mode index (1)",,,,,,,,,,,,"w_core=450, wl=210, Effective mode index (1)","w_core=450, wl=220, Effective mode index (1)","w_core=450, wl=230, Effective mode index (1)","w_core=450, wl=240, Effective mode index (1)","w_core=450, wl=250, Effective mode index (1)","w_core=450, wl=260, Effective mode index (1)","w_core=450, wl=270, Effective mode index (1)","w_core=450, wl=280, Effective mode index (1)","w_core=450, wl=290, Effective mode index (1)","w_core=450, wl=300, Effective mode index (1)",,,,,,,,,,,,"w_core=500, wl=210, Effective mode index (1)","w_core=500, wl=220, Effective mode index (1)","w_core=500, wl=230, Effective mode index (1)","w_core=500, wl=240, Effective mode index (1)","w_core=500, wl=250, Effective mode index (1)","w_core=500, wl=260, Effective mode index (1)","w_core=500, wl=270, Effective mode index (1)","w_core=500, wl=280, Effective mode index (1)","w_core=500, wl=290, Effective mode index (1)","w_core=500, wl=300, Effective mode index (1)",,,,,,,,,,,,"w_core=550, wl=210, Effective mode index (1)","w_core=550, wl=220, Effective mode index (1)","w_core=550, wl=230, Effective mode index (1)","w_core=550, wl=240, Effective mode index (1)","w_core=550, wl=250, Effective mode index (1)","w_core=550, wl=260, Effective mode index (1)","w_core=550, wl=270, Effective mode index (1)","w_core=550, wl=280, Effective mode index (1)","w_core=550, wl=290, Effective mode index (1)","w_core=550, wl=300, Effective mode index (1)",,,,,,,,,,,,"w_core=600, wl=210, Effective mode index (1)","w_core=600, wl=220, Effective mode index (1)","w_core=600, wl=230, Effective mode index (1)","w_core=600, wl=240, Effective mode index (1)","w_core=600, wl=250, Effective mode index (1)","w_core=600, wl=260, Effective mode index (1)","w_core=600, wl=270, Effective mode index (1)","w_core=600, wl=280, Effective mode index (1)","w_core=600, wl=290, Effective mode index (1)","w_core=600, wl=300, Effective mode index (1)",,,,,,,,,,,,"w_core=650, wl=210, Effective mode index (1)","w_core=650, wl=220, Effective mode index (1)","w_core=650, wl=230, Effective mode index (1)","w_core=650, wl=240, Effective mode index (1)","w_core=650, wl=250, Effective mode index (1)","w_core=650, wl=260, Effective mode index (1)","w_core=650, wl=270, Effective mode index (1)","w_core=650, wl=280, Effective mode index (1)","w_core=650, wl=290, Effective mode index (1)","w_core=650, wl=300, Effective mode index (1)",,,,,,,,,,,,"w_core=700, wl=210, Effective mode index (1)","w_core=700, wl=220, Effective mode index (1)","w_core=700, wl=230, Effective mode index (1)","w_core=700, wl=240, Effective mode index (1)","w_core=700, wl=250, Effective mode index (1)","w_core=700, wl=260, Effective mode index (1)","w_core=700, wl=270, Effective mode index (1)","w_core=700, wl=280, Effective mode index (1)","w_core=700, wl=290, Effective mode index (1)","w_core=700, wl=300, Effective mode index (1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TM_00,2.89,2.89,2.6465,2.5496,2.4771,2.4181,2.3693,2.3284,2.2936,2.2637,2.2377,,,,,,,,,,,TM_00,2.8947,2.6518,2.5555,2.4835,2.4251,2.3768,2.3364,2.3022,2.2729,2.2473,,,,,,,,,,,TM_00,2.8978,2.6554,2.5595,2.4878,2.4298,2.3819,2.3419,2.308,2.2791,2.2539,,,,,,,,,,,TM_00,2.8999,2.6579,2.5622,2.4909,2.4331,2.3855,2.3457,2.3122,2.2835,2.2587,,,,,,,,,,,TM_00,2.9015,2.6597,2.5643,2.4931,2.4356,2.3881,2.3486,2.3153,2.2868,2.2621,,,,,,,,,,,TM_00,2.9027,2.6611,2.5658,2.4948,2.4374,2.3901,2.3507,2.3176,2.2893,2.2648,,,,,,,,,,,TM_00,2.9036,2.6621,2.567,2.4961,2.4388,2.3917,2.3524,2.3194,2.2912,2.2668,,,,,,,,,,,TM_00,2.9043,2.6629,2.5679,2.4971,2.4399,2.3929,2.3537,2.3208,2.2927,2.2685,,,,,,,,,,,TM_00,2.9048,2.6636,2.5686,2.4979,2.4408,2.3939,2.3548,2.3219,2.2939,2.2698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TM_10,2.8339,2.8339,2.5841,2.4801,2.4006,2.3347,2.279,2.231,2.1978,2.1717,2.1485,,,,,,,,,,,TM_10,2.8528,2.603,2.5011,2.4234,2.3593,2.3052,2.259,2.2188,2.1837,2.1612,,,,,,,,,,,TM_10,2.8653,2.6175,2.5171,2.441,2.3784,2.3259,2.2812,2.2426,2.2089,2.1788,,,,,,,,,,,TM_10,2.8741,2.6276,2.5283,2.4534,2.3919,2.3405,2.297,2.2595,2.2269,2.198,,,,,,,,,,,,2.8804,2.6349,2.5365,2.4624,2.4018,2.3512,2.3085,2.2719,2.2402,2.2122,,,,,,,,,,,,2.8851,2.6404,2.5426,2.4691,2.4092,2.3593,2.3172,2.2813,2.2502,2.2229,,,,,,,,,,,TM_10,2.8887,2.6447,2.5474,2.4743,2.4149,2.3655,2.3239,2.2886,2.258,2.2312,,,,,,,,,,,TM_10,2.8916,2.648,2.5511,2.4785,2.4194,2.3704,2.3293,2.2943,2.2642,2.2378,,,,,,,,,,,TM_10,2.8939,2.6506,2.554,2.4817,2.423,2.3743,2.3335,2.2989,2.2691,2.2431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TM_01,2.8335,2.8335,2.5813,2.4771,2.3972,2.3309,2.2745,2.2277,2.1892,2.1522,2.1189,,,,,,,,,,,TM_01,2.8382,2.5896,2.4862,2.4072,2.3419,2.2868,2.2394,2.2089,2.1833,2.1518,,,,,,,,,,,TM_01,2.8414,2.5932,2.4902,2.4117,2.3468,2.292,2.2451,2.2162,2.1914,2.1696,,,,,,,,,,,TM_01,2.8436,2.5958,2.4931,2.4148,2.3503,2.2958,2.2496,2.2214,2.1969,2.1755,,,,,,,,,,,,2.8453,2.5977,2.4952,2.4171,2.3528,2.2985,2.253,2.2251,2.2009,2.1797,,,,,,,,,,,TM_20,2.8556,2.6057,2.5036,2.4258,2.3615,2.3071,2.2605,2.2199,2.184,2.1518,,,,,,,,,,,TM_20,2.8639,2.6153,2.5144,2.4377,2.3745,2.3213,2.2759,2.2365,2.2018,2.1709,,,,,,,,,,,TM_20,2.8703,2.6229,2.5228,2.4471,2.3848,2.3325,2.288,2.2496,2.2159,2.186,,,,,,,,,,,TM_20,2.8755,2.6289,2.5296,2.4546,2.393,2.3415,2.2977,2.2601,2.2272,2.1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TM_11,2.7761,2.7761,2.5174,2.4196,2.3547,2.3039,2.2624,2.226,2.1837,2.1461,2.1123,,,,,,,,,,,TM_11,2.7954,2.5396,2.4303,2.3628,2.3127,2.2721,2.238,2.1982,2.1617,2.129,,,,,,,,,,,TM_20,2.8106,2.5533,2.4452,2.3613,2.2909,2.2304,2.1776,2.1306,2.0885,2.0499,,,,,,,,,,,TM_20,2.8305,2.5764,2.4709,2.3897,2.3226,2.2641,2.2139,2.1697,2.1301,2.0943,,,,,,,,,,,TM_20,2.8448,2.5932,2.4896,2.4104,2.3445,2.2886,2.2404,2.1983,2.1609,2.1271,,,,,,,,,,,,2.8464,2.599,2.4967,2.4189,2.3547,2.3006,2.2556,,,,,,,,,,,,,,TM_01,2.8473,2.6001,2.4979,2.4202,2.3561,2.3022,2.2576,2.23,,,,,,,,,,,,,TM_01,2.848,2.601,2.4989,2.4213,2.3573,2.3034,2.2591,2.2316,2.208, ,,,,,,,,,,,TM_30,2.8495,2.6016,2.4996,2.4221,2.3582,2.3045,2.2603,2.2329,2.2094,2.1888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
