WL = 220 --- dispersion: index v. WIDTH,,,,,
width [nm],TM00,TM20,TM40,TM04,TM04
150,1.8829181,2.2032507,,2.054,2.014
175,#ERROR!,2.26268035,,2.0735,2.0335
200,1.95853,2.32211,1.729316,2.093,2.053
225,1.9771225,2.3590575,1.818737,2.099675,2.059675
250,1.995715,2.396005,1.908158,2.10635,2.06635
275,2.0143075,2.4329525,1.997579,2.113025,2.073025
300,2.0329,2.4699,2.087,2.1197,2.0797
325,2.0415,2.495,2.16305,2.12345,2.08345
350,2.0501,2.5201,2.2391,2.1272,2.0872
375,2.05615,2.5367,2.28875,2.12945,2.08945
400,2.0622,2.5533,2.3384,2.1317,2.0917
425,2.06665,2.56485,2.3725,2.1333,2.0933
450,2.0711,2.5764,2.4066,2.1349,2.0949
475,2.07445,2.5848,2.4311,2.13605,2.09605
500,2.0778,2.5932,2.4556,2.1372,2.0972
525,2.08035,2.59945,2.4737,2.13805,2.09805
550,2.0829,2.6057,2.4918,2.1389,2.0989
575,2.08495,2.6105,2.50565,2.13945,2.09945
600,2.087,2.6153,2.5195,2.14,2.1
625,2.08865,2.6191,2.53025,2.14055,2.10055
650,2.0903,2.6229,2.541,2.1411,2.1011
675,2.0916,2.6229,2.5496,2.14155,2.10155
700,2.0929,2.6229,2.5582,2.142,2.102
725,2.0942,2.625116667,2.5668,2.14264,2.10264
750,2.0955,2.627333333,2.5754,2.14328,2.10328
775,2.0968,2.62955,2.584,2.14392,2.10392
800,2.0981,2.631766667,2.5926,2.14456,2.10456
