WL = 230 --- dispersion v. WIDTH,,,,,
width [nm],TM00,TM20,TM40,TM04,TM04
150,1.8615002,2.0762819,,1.9026,1.8626
175,1.8994801,2.13647595,,1.9224,1.8824
200,1.93746,2.19667,,1.9422,1.9022
225,1.956445,2.2356775,1.6386525,1.9487,1.9087
250,1.97543,2.274685,1.734035,1.9552,1.9152
275,1.994415,2.3136925,1.8294175,1.9617,1.9217
300,2.0134,2.3527,1.9248,1.9682,1.9282
325,2.0225,2.3805,2.00825,1.97305,1.93305
350,2.0316,2.4083,2.0917,1.9779,1.9379
375,2.03805,2.42675,2.14735,1.9804,1.9404
400,2.0445,2.4452,2.203,1.9829,1.9429
425,2.0492,2.45805,2.24125,1.9848,1.9448
450,2.0539,2.4709,2.2795,1.9867,1.9467
475,2.0575,2.48025,2.3069,1.98805,1.94805
500,2.0611,2.4896,2.3343,1.9894,1.9494
525,2.06385,2.4966,2.3548,1.9894,1.9494
550,2.0666,2.5036,2.3753,1.9894,1.9494
575,2.0688,2.509,2.3908,1.9909,1.9509
600,2.071,2.5144,2.4063,1.9924,1.9524
625,2.07275,2.5186,2.41845,1.993,1.953
650,2.0745,2.5228,2.4306,1.9936,1.9536
675,2.07595,2.5228,2.44025,1.9943,1.9543
700,2.0774,2.5228,2.4499,1.995,1.955
725,2.07885,2.52525,2.45955,1.99578,1.95578
750,2.0803,2.5277,2.4692,1.99656,1.95656
775,2.08175,2.53015,2.47885,1.99734,1.95734
800,2.0832,2.5326,2.4885,1.99812,1.95812
